Unnamed: 0.1,Unnamed: 0,Matchday,Day,Date_x,Time_x,home,xG_home,xG_away,away,Assistance,Venue,Referee_x,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,Div,Date_y,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee_y,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Season,Time_y,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
52,52,6,Sat,2018-09-22,15:00,Cardiff,0.1,2.5,Man City,"32,321",Cardiff City Stadium,Michael Oliver,/en/matches/41dde04a/Cardiff-City-Manchester-City-September-22-2018-Premier-League,0,5,4-4-1-1,4-3-3,6.0,4.0,1.0,9.0,7.0,23.0,342.0,933.0,16.0,12.0,14.0,11.0,10.0,9.0,26.0,11.0,2.0,1.0,5.0,4.0,15.0,15.0,59.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,Neil Etheridge,Lee Peltier,Sean Morrison,Bruno Ecuele Manga,Harry Arter,Joe Ralls,Danny Ward,Bobby Reid,Greg Cunningham,Víctor Camarasa,Junior Hoilett,Brian Murphy,Joe Bennett,Jazz Richards,Kenneth Zohore,Josh Murphy,Callum Paterson,Ederson,Kyle Walker,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Fabian Delph,Leroy Sané,Bernardo Silva,Fernandinho,Nicolás Otamendi,Arijanet Muric,Vincent Kompany,John Stones,David Silva,Riyad Mahrez,Gabriel Jesus,E0,22/09/2018,0.0,5.0,A,0.0,3.0,A,M Oliver,2.0,21.0,2.0,10.0,6.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,23.0,8.0,1.16,17.5,8.0,1.15,15.0,6.5,1.2,,,,21.06,7.97,1.18,17.0,7.5,1.15,20.0,8.5,1.17,40.0,23.0,18.84,9.0,7.85,1.2,1.16,32.0,1.5,1.45,2.88,2.7,22.0,2.0,2.19,2.12,1.81,1.76,21.63,8.65,1.15,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,6,Sat,2018-09-22,15:00,Liverpool,1.7,0.3,Southampton,"50,965",Anfield,Paul Tierney,/en/matches/65050401/Liverpool-Southampton-September-22-2018-Premier-League,3,0,4-2-3-1,4-1-4-1,7.0,10.0,5.0,4.0,13.0,14.0,874.0,619.0,17.0,20.0,7.0,16.0,7.0,16.0,12.0,35.0,4.0,1.0,8.0,5.0,19.0,13.0,55.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,Alisson,Virgil van Dijk,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Mohamed Salah,Jordan Henderson,Xherdan Shaqiri,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Simon Mignolet,Fabinho,James Milner,Naby Keïta,Joe Gomez,Daniel Sturridge,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Shane Long,Oriol Romeu,Mario Lemina,Ryan Bertrand,Nathan Redmond,Pierre Højbjerg,Matt Targett,Angus Gunn,Maya Yoshida,Steven Davis,Charlie Austin,James Ward-Prowse,Stuart Armstrong,E0,22/09/2018,3.0,0.0,H,3.0,0.0,H,P Tierney,12.0,7.0,4.0,1.0,7.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,1.2,7.5,17.0,1.2,6.75,14.0,1.2,6.5,15.0,,,,1.2,7.42,18.51,1.18,7.0,15.0,1.2,7.5,17.0,40.0,1.22,1.2,7.75,7.06,19.0,15.75,32.0,1.54,1.49,2.75,2.59,22.0,-2.0,2.03,1.96,1.94,1.9,1.2,7.28,15.97,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,6,Sat,2018-09-22,15:00,Burnley,2.1,1.0,Bournemouth,"18,636",Turf Moor,Anthony Taylor,/en/matches/7685b966/Burnley-Bournemouth-September-22-2018-Premier-League,4,0,4-4-1-1,4-4-2,17.0,6.0,3.0,8.0,20.0,26.0,530.0,767.0,15.0,8.0,15.0,8.0,23.0,21.0,32.0,31.0,1.0,2.0,12.0,6.0,17.0,16.0,100.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,Joe Hart,Matthew Lowton,Charlie Taylor,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Sam Vokes,Ashley Westwood,Aaron Lennon,Matěj Vydra,Tom Heaton,Ashley Barnes,Chris Wood,Jeff Hendrick,Phil Bardsley,Kevin Long,Asmir Begović,Steve Cook,Nathan Aké,Andrew Surman,Jefferson Lerma,Callum Wilson,Adam Smith,Joshua King,David Brooks,Diego Rico,Ryan Fraser,Artur Boruc,Simon Francis,Jordon Ibe,Lewis Cook,Jermain Defoe,Junior Stanislas,E0,22/09/2018,4.0,0.0,H,2.0,0.0,H,A Taylor,12.0,19.0,5.0,5.0,17.0,6.0,3.0,8.0,2.0,0.0,0.0,0.0,3.0,3.4,2.5,2.8,3.25,2.6,2.8,3.3,2.55,,,,2.95,3.42,2.59,2.8,3.3,2.5,2.9,3.4,2.6,40.0,3.0,2.87,3.42,3.32,2.62,2.55,39.0,2.1,2.02,1.86,1.8,21.0,0.25,1.77,1.73,2.22,2.17,3.38,3.38,2.34,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,6,Sat,2018-09-22,15:00,Chelsea,0.6,1.0,Wolves,"74,489",Old Trafford,Kevin Friend,/en/matches/939e3a15/Manchester-United-Wolverhampton-Wanderers-September-22-2018-Premier-League,1,1,4-3-3,3-4-3,5.0,17.0,5.0,4.0,23.0,9.0,824.0,535.0,16.0,13.0,5.0,17.0,17.0,23.0,14.0,31.0,3.0,2.0,8.0,5.0,27.0,20.0,81.0,63.0,1.0,0.0,0.0,1.0,0.0,0.0,David de Gea,Victor Lindelöf,Paul Pogba,Alexis Sánchez,Romelu Lukaku,Chris Smalling,Jesse Lingard,Fred,Luke Shaw,Antonio Valencia,Marouane Fellaini,Sergio Romero,Eric Bailly,Juan Mata,Anthony Martial,Andreas Pereira,Ashley Young,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Léo Bonatini,E0,10/03/2019,1.0,1.0,D,0.0,0.0,D,M Oliver,22.0,2.0,6.0,1.0,8.0,14.0,13.0,0.0,1.0,4.0,0.0,0.0,1.55,4.2,7.0,1.55,4.0,6.5,1.45,4.4,7.2,,,,1.59,4.04,6.93,1.55,4.0,6.5,1.6,4.0,7.0,34.0,1.6,1.56,4.4,4.03,7.2,6.53,33.0,1.99,1.9,2.0,1.92,21.0,-1.0,2.03,1.96,2.05,1.91,1.61,3.89,7.04,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,6,Sat,2018-09-22,15:00,Leicester,1.7,0.7,Huddersfield,"31,676",King Power Stadium,David Coote,/en/matches/b16f9070/Leicester-City-Huddersfield-Town-September-22-2018-Premier-League,3,1,4-2-3-1,5-4-1,10.0,16.0,3.0,1.0,15.0,14.0,747.0,498.0,23.0,11.0,11.0,12.0,25.0,20.0,31.0,13.0,1.0,0.0,6.0,9.0,15.0,27.0,63.0,81.0,2.0,0.0,0.0,1.0,0.0,0.0,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Kelechi Iheanacho,Jamie Vardy,James Maddison,Harry Maguire,Daniel Amartey,Nampalys Mendy,Wilfred Ndidi,Rachid Ghezzal,Danny Ward,Demarai Gray,Marc Albrighton,Ricardo Pereira,Shinji Okazaki,Adrien Silva,Jonas Lössl,Terence Kongolo,Philip Billing,Elias Kachunga,Aaron Mooy,Chris Löwe,Rajiv van La Parra,Laurent Depoitre,Mathias Jørgensen,Christopher Schindler,Erik Durm,Ben Hamer,Jonathan Hogg,Adama Diakhaby,Isaac Mbenza,Alex Pritchard,Steve Mounié,E0,22/09/2018,3.0,1.0,H,1.0,1.0,D,D Coote,18.0,9.0,8.0,2.0,10.0,16.0,3.0,1.0,2.0,1.0,0.0,0.0,1.61,4.0,6.5,1.57,3.9,6.25,1.67,3.9,5.0,,,,1.62,3.91,6.72,1.6,3.75,6.0,1.62,3.8,7.0,40.0,1.67,1.61,4.0,3.82,7.0,6.35,39.0,2.3,2.18,1.75,1.68,23.0,-1.0,2.21,2.11,1.83,1.77,1.72,3.67,5.91,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,6,Sat,2018-09-22,17:30,Brighton,0.8,1.9,Tottenham,"30,531",The American Express Community Stadium,Chris Kavanagh,/en/matches/6fe3c413/Brighton-and-Hove-Albion-Tottenham-Hotspur-September-22-2018-Premier-League,1,2,4-1-4-1,4-2-3-1,15.0,9.0,5.0,7.0,14.0,15.0,389.0,787.0,13.0,16.0,13.0,14.0,13.0,9.0,18.0,15.0,2.0,0.0,8.0,6.0,24.0,20.0,63.0,65.0,2.0,0.0,0.0,1.0,0.0,0.0,Mathew Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Yves Bissouma,Anthony Knockaert,Glenn Murray,Solly March,Martín Montoya,Davy Pröpper,David Button,Beram Kayal,Jürgen Locadia,Florin Andone,Leon Balogun,Alireza Jahanbakhsh,Paulo Gazzaniga,Kieran Trippier,Danny Rose,Toby Alderweireld,Jan Vertonghen,Son Heung-min,Harry Kane,Eric Dier,Mousa Dembélé,Christian Eriksen,Lucas Moura,Alfie Whiteman,Davinson Sánchez,Harry Winks,Érik Lamela,Victor Wanyama,Dele Alli,E0,22/09/2018,1.0,2.0,A,0.0,1.0,A,C Kavanagh,8.0,16.0,4.0,7.0,15.0,9.0,5.0,7.0,2.0,1.0,0.0,0.0,5.0,4.0,1.75,4.75,3.7,1.75,4.8,3.9,1.7,,,,4.99,3.93,1.76,4.4,3.8,1.75,5.0,3.9,1.75,40.0,5.0,4.76,4.0,3.81,1.8,1.75,39.0,1.85,1.8,2.1,2.02,23.0,1.0,1.68,1.63,2.42,2.33,5.52,3.99,1.7,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,6,Sun,2018-09-23,13:30,West Ham,1.0,1.5,Chelsea,"56,875",London Stadium,Mike Dean,/en/matches/c09e4868/West-Ham-United-Chelsea-September-23-2018-Premier-League,0,0,4-3-3,4-3-3,11.0,9.0,1.0,8.0,11.0,28.0,471.0,900.0,22.0,8.0,15.0,8.0,10.0,12.0,47.0,9.0,2.0,3.0,6.0,9.0,18.0,23.0,69.0,53.0,2.0,0.0,0.0,1.0,0.0,0.0,Łukasz Fabiański,Fabián Balbuena,Pablo Zabaleta,Felipe Anderson,Pedro Obiang,Mark Noble,Andriy Yarmolenko,Issa Diop,Arthur Masuaku,Michail Antonio,Declan Rice,Adrián,Aaron Cresswell,Robert Snodgrass,Carlos Sánchez,Angelo Ogbonna,Ryan Fredericks,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Eden Hazard,Mateo Kovačić,Olivier Giroud,Willian,César Azpilicueta,David Luiz,Willy Caballero,Cesc Fàbregas,Ross Barkley,Victor Moses,Davide Zappacosta,Gary Cahill,E0,23/09/2018,0.0,0.0,D,0.0,0.0,D,M Dean,6.0,17.0,1.0,6.0,11.0,9.0,1.0,8.0,2.0,1.0,0.0,0.0,6.0,4.5,1.57,5.75,4.25,1.55,6.1,4.2,1.53,,,,5.72,4.41,1.61,5.0,4.2,1.6,6.0,4.5,1.57,40.0,6.5,5.61,4.5,4.33,1.64,1.58,38.0,1.63,1.58,2.5,2.37,23.0,1.0,1.95,1.91,2.0,1.95,6.86,4.73,1.5,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,6,Sun,2018-09-23,16:00,Arsenal,0.8,0.8,Everton,"59,964",Emirates Stadium,Jonathan Moss,/en/matches/a1fb6176/Arsenal-Everton-September-23-2018-Premier-League,2,0,4-2-3-1,4-2-3-1,17.0,12.0,5.0,9.0,15.0,27.0,719.0,499.0,19.0,20.0,9.0,18.0,18.0,15.0,29.0,28.0,1.0,2.0,7.0,1.0,29.0,26.0,90.0,58.0,2.0,0.0,0.0,1.0,0.0,0.0,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Aaron Ramsey,Alexandre Lacazette,Mesut Özil,Lucas Torreira,Pierre-Emerick Aubameyang,Nacho Monreal,Shkodran Mustafi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Stephan Lichtsteiner,Rob Holding,Alex Iwobi,Danny Welbeck,Jordan Pickford,Michael Keane,Kurt Zouma,Gylfi Sigurðsson,Theo Walcott,Lucas Digne,Idrissa Gana Gueye,Tom Davies,Dominic Calvert-Lewin,Richarlison,Jonjoe Kenny,Maarten Stekelenburg,Mason Holgate,Leighton Baines,Cenk Tosun,Morgan Schneiderlin,Bernard,E0,23/09/2018,2.0,0.0,H,0.0,0.0,D,J Moss,9.0,9.0,5.0,6.0,17.0,12.0,5.0,9.0,2.0,1.0,0.0,0.0,1.44,5.0,7.5,1.48,4.6,6.5,1.45,4.5,7.0,,,,1.49,4.93,6.88,1.47,4.75,6.0,1.45,5.0,7.0,39.0,1.49,1.46,5.05,4.83,7.5,6.54,31.0,1.49,1.44,2.88,2.75,22.0,-1.0,1.74,1.7,2.29,2.2,1.4,5.46,7.94,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,7,Sat,2018-09-29,12:30,West Ham,1.4,0.7,Chelsea,"56,938",London Stadium,Michael Oliver,/en/matches/f6e0fe6b/West-Ham-United-Manchester-United-September-29-2018-Premier-League,3,1,4-1-4-1,5-3-2,12.0,12.0,4.0,9.0,17.0,35.0,601.0,624.0,25.0,9.0,9.0,9.0,11.0,19.0,30.0,18.0,2.0,4.0,6.0,7.0,9.0,26.0,86.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,Łukasz Fabiański,Fabián Balbuena,Pablo Zabaleta,Marko Arnautović,Felipe Anderson,Pedro Obiang,Mark Noble,Andriy Yarmolenko,Issa Diop,Arthur Masuaku,Declan Rice,Adrián,Robert Snodgrass,Angelo Ogbonna,Ryan Fredericks,Lucas Pérez,Michail Antonio,David de Gea,Victor Lindelöf,Paul Pogba,Romelu Lukaku,Anthony Martial,Chris Smalling,Ashley Young,Luke Shaw,Marouane Fellaini,Nemanja Matić,Scott McTominay,Lee Grant,Eric Bailly,Juan Mata,Marcus Rashford,Fred,Ander Herrera,E0,23/09/2018,0.0,0.0,D,0.0,0.0,D,M Dean,6.0,17.0,1.0,6.0,11.0,9.0,1.0,8.0,2.0,1.0,0.0,0.0,6.0,4.5,1.57,5.75,4.25,1.55,6.1,4.2,1.53,,,,5.72,4.41,1.61,5.0,4.2,1.6,6.0,4.5,1.57,40.0,6.5,5.61,4.5,4.33,1.64,1.58,38.0,1.63,1.58,2.5,2.37,23.0,1.0,1.95,1.91,2.0,1.95,6.86,4.73,1.5,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,7,Sat,2018-09-29,15:00,Newcastle,0.4,1.3,Leicester,"51,523",St. James' Park,Simon Hooper,/en/matches/0fe30564/Newcastle-United-Leicester-City-September-29-2018-Premier-League,0,2,4-4-1-1,4-2-3-1,11.0,5.0,5.0,9.0,14.0,23.0,536.0,693.0,23.0,21.0,11.0,11.0,20.0,32.0,31.0,13.0,1.0,0.0,11.0,8.0,25.0,44.0,66.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Dúbravka,Ciaran Clark,Jamaal Lascelles,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu,DeAndre Yedlin,Christian Atsu,Karl Darlow,Fabian Schär,Jacob Murphy,Yoshinori Mutō,Isaac Hayden,Javier Manquillo,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Kelechi Iheanacho,Jamie Vardy,James Maddison,Ricardo Pereira,Harry Maguire,Daniel Amartey,Nampalys Mendy,Wilfred Ndidi,Danny Ward,Jonny Evans,Marc Albrighton,Shinji Okazaki,Vicente Iborra,Christian Fuchs,E0,29/09/2018,0.0,2.0,A,0.0,1.0,A,S Hooper,6.0,12.0,1.0,5.0,11.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,2.6,3.3,3.0,2.55,3.25,2.85,2.6,3.3,2.75,,,,2.61,3.3,3.01,2.55,3.2,2.9,2.6,3.25,3.0,40.0,2.65,2.56,3.3,3.22,3.05,2.93,39.0,2.3,2.2,1.72,1.68,22.0,-0.25,2.22,2.17,1.77,1.73,2.86,3.13,2.82,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,7,Sat,2018-09-29,15:00,Everton,2.3,0.5,Fulham,"38,788",Goodison Park,Roger East,/en/matches/1e6da91a/Everton-Fulham-September-29-2018-Premier-League,3,0,4-2-3-1,4-4-1-1,13.0,13.0,12.0,1.0,30.0,8.0,566.0,549.0,25.0,21.0,19.0,15.0,16.0,20.0,15.0,35.0,6.0,0.0,5.0,6.0,26.0,28.0,71.0,55.0,0.0,0.0,0.0,3.0,0.0,0.0,Jordan Pickford,Michael Keane,Kurt Zouma,Gylfi Sigurðsson,Theo Walcott,Lucas Digne,Idrissa Gana Gueye,Tom Davies,Dominic Calvert-Lewin,Richarlison,Jonjoe Kenny,Maarten Stekelenburg,Mason Holgate,Leighton Baines,Cenk Tosun,Morgan Schneiderlin,Bernard,Marcus Bettinelli,Ryan Sessegnon,Denis Odoi,Aleksandar Mitrović,Tim Ream,André Schürrle,Luciano Vietto,Timothy Fosu-Mensah,Joe Bryan,Jean Seri,Andre-Frank Zambo Anguissa,Sergio Rico,Kevin McDonald,Stefan Johansen,Tom Cairney,Floyd Ayité,Maxime Le Marchand,E0,29/09/2018,3.0,0.0,H,0.0,0.0,D,R East,19.0,6.0,6.0,0.0,13.0,13.0,12.0,1.0,0.0,3.0,0.0,0.0,1.75,4.2,4.75,1.75,4.0,4.33,1.8,3.7,4.4,,,,1.76,4.05,4.82,1.75,4.0,4.33,1.75,4.1,4.75,38.0,1.8,1.74,4.2,3.99,4.82,4.58,36.0,1.65,1.61,2.41,2.31,23.0,-1.0,2.35,2.26,1.75,1.67,1.65,4.32,5.49,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,7,Sat,2018-09-29,15:00,Wolves,1.6,0.8,Southampton,"31,147",Molineux Stadium,Stuart Attwell,/en/matches/85cb9e4e/Wolverhampton-Wanderers-Southampton-September-29-2018-Premier-League,2,0,3-4-3,4-4-2,11.0,7.0,8.0,6.0,15.0,18.0,593.0,602.0,19.0,32.0,11.0,13.0,18.0,13.0,25.0,18.0,0.0,2.0,5.0,7.0,23.0,10.0,63.0,58.0,3.0,0.0,0.0,1.0,0.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Ivan Cavaleiro,Romain Saïss,Rúben Vinagre,Kortney Hause,Léo Bonatini,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Danny Ings,Charlie Austin,Mohamed Elyounoussi,Mario Lemina,Ryan Bertrand,Nathan Redmond,Pierre Højbjerg,Angus Gunn,Maya Yoshida,Steven Davis,Oriol Romeu,Stuart Armstrong,Manolo Gabbiadini,E0,29/09/2018,2.0,0.0,H,0.0,0.0,D,S Attwell,14.0,17.0,6.0,6.0,11.0,7.0,8.0,6.0,3.0,1.0,0.0,0.0,1.8,3.6,5.25,1.8,3.5,4.75,1.9,3.5,4.1,,,,1.85,3.56,5.04,1.85,3.5,4.5,1.85,3.5,5.0,40.0,1.9,1.82,3.75,3.54,5.25,4.79,39.0,2.21,2.13,1.8,1.72,23.0,-1.0,2.66,2.55,1.6,1.54,1.96,3.48,4.5,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,7,Sat,2018-09-29,15:00,Arsenal,1.4,2.8,Watford,"60,019",Emirates Stadium,Anthony Taylor,/en/matches/d51c2069/Arsenal-Watford-September-29-2018-Premier-League,2,0,4-2-3-1,4-2-2-2,11.0,17.0,6.0,6.0,22.0,27.0,693.0,463.0,10.0,20.0,7.0,15.0,26.0,21.0,35.0,29.0,1.0,3.0,12.0,9.0,18.0,16.0,70.0,85.0,2.0,0.0,0.0,2.0,0.0,0.0,Petr Čech,Héctor Bellerín,Aaron Ramsey,Alexandre Lacazette,Mesut Özil,Lucas Torreira,Pierre-Emerick Aubameyang,Rob Holding,Nacho Monreal,Shkodran Mustafi,Granit Xhaka,Bernd Leno,Henrikh Mkhitaryan,Stephan Lichtsteiner,Alex Iwobi,Danny Welbeck,Mattéo Guendouzi,Ben Foster,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,Marc Navarro,José Holebas,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Adrian Mariappa,Isaac Success,Adam Masina,Ken Sema,Nathaniel Chalobah,E0,29/09/2018,2.0,0.0,H,0.0,0.0,D,A Taylor,9.0,13.0,2.0,4.0,11.0,17.0,6.0,6.0,2.0,2.0,0.0,0.0,1.44,5.1,7.0,1.45,4.75,6.5,1.45,4.5,7.0,,,,1.5,4.85,6.75,1.44,5.0,6.0,1.5,4.8,6.5,40.0,1.51,1.47,5.1,4.77,7.5,6.41,32.0,1.5,1.44,2.9,2.73,24.0,-1.0,1.81,1.75,2.23,2.13,1.49,4.88,6.75,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,7,Sat,2018-09-29,15:00,Man City,2.7,0.2,Brighton,"54,152",Etihad Stadium,Lee Mason,/en/matches/d64da66e/Manchester-City-Brighton-and-Hove-Albion-September-29-2018-Premier-League,2,0,4-3-3,4-1-4-1,4.0,10.0,10.0,3.0,29.0,8.0,1002.0,346.0,15.0,15.0,12.0,10.0,14.0,8.0,8.0,37.0,0.0,2.0,2.0,16.0,18.0,15.0,55.0,64.0,0.0,0.0,0.0,3.0,0.0,0.0,Ederson,Kyle Walker,Raheem Sterling,Sergio Agüero,Aymeric Laporte,Leroy Sané,Bernardo Silva,David Silva,Fernandinho,Nicolás Otamendi,Oleksandr Zinchenko,Arijanet Muric,Danilo,Vincent Kompany,John Stones,Riyad Mahrez,Gabriel Jesus,Mathew Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Beram Kayal,Yves Bissouma,Jürgen Locadia,Anthony Knockaert,Solly March,Martín Montoya,Davy Pröpper,David Button,Bruno,Leon Balogun,Alireza Jahanbakhsh,Glenn Murray,José Izquierdo,E0,29/09/2018,2.0,0.0,H,1.0,0.0,H,L Mason,28.0,4.0,8.0,1.0,4.0,10.0,10.0,3.0,0.0,3.0,0.0,0.0,1.1,12.0,34.0,1.08,11.0,29.0,1.1,9.1,28.0,,,,1.1,12.59,24.79,1.07,12.0,29.0,1.1,12.0,31.0,40.0,1.12,1.09,12.87,11.16,34.25,27.87,34.0,1.35,1.3,3.65,3.44,22.0,-2.75,2.07,2.01,1.9,1.86,1.1,11.74,28.42,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
