,Matchday,home,xG_home,xG_away,away,goals_home,goals_away,dif,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,result,home_Points,away_Points,B365H,B365D,B365A,Yellows_scored_home_MA5,Yellows_conceeded_home_MA5,Reds_scored_home_MA5,Reds_conceeded_home_MA5,Yellow_Reds_scored_home_MA5,Yellow_Reds_conceeded_home_MA5,Fouls_scored_home_MA5,Fouls_conceeded_home_MA5,Goals_scored_home_MA5,Goals_conceeded_home_MA5,Shoots_scored_home_MA5,Shoots_conceeded_home_MA5,SOT_scored_home_MA5,SOT_conceeded_home_MA5,Corners_scored_home_MA5,Corners_conceeded_home_MA5,Crosses_scored_home_MA5,Crosses_conceeded_home_MA5,Touches_scored_home_MA5,Touches_conceeded_home_MA5,Interceptions_scored_home_MA5,Interceptions_conceeded_home_MA5,Tackles_scored_home_MA5,Tackles_conceeded_home_MA5,Clearances_scored_home_MA5,Clearances_conceeded_home_MA5,Offsides_scored_home_MA5,Offsides_conceeded_home_MA5,Long Balls_scored_home_MA5,Long Balls_conceeded_home_MA5,Yellows_scored_away_MA5,Yellows_conceeded_away_MA5,Reds_scored_away_MA5,Reds_conceeded_away_MA5,Yellow_Reds_scored_away_MA5,Yellow_Reds_conceeded_away_MA5,Fouls_scored_away_MA5,Fouls_conceeded_away_MA5,Goals_scored_away_MA5,Goals_conceeded_away_MA5,Shoots_scored_away_MA5,Shoots_conceeded_away_MA5,SOT_scored_away_MA5,SOT_conceeded_away_MA5,Corners_scored_away_MA5,Corners_conceeded_away_MA5,Crosses_scored_away_MA5,Crosses_conceeded_away_MA5,Touches_scored_away_MA5,Touches_conceeded_away_MA5,Interceptions_scored_away_MA5,Interceptions_conceeded_away_MA5,Tackles_scored_away_MA5,Tackles_conceeded_away_MA5,Clearances_scored_away_MA5,Clearances_conceeded_away_MA5,Offsides_scored_away_MA5,Offsides_conceeded_away_MA5,Long Balls_scored_away_MA5,Long Balls_conceeded_away_MA5,Points_total_home_MA5,Points_total_away_MA5,Points_total_home_MA17,Points_total_away_MA17,Points_total_home_MA34,Points_total_away_MA34,season
70,8,Brighton,1.2,1.4,West Ham,1,0,1,12.0,8.0,2.0,9.0,11.0,18.0,0,3.0,0.0,2.7,3.3,2.87,2.4,1.4,0.0,0.0,0.0,0.0,12.8,9.0,1.0,1.8,9.0,18.0,3.2,6.6,4.8,5.4,16.0,18.2,469.8,804.2,16.6,12.8,16.0,16.4,25.0,15.4,2.2,1.4,73.2,64.4,2.4,1.2,0.0,0.0,0.0,0.0,11.6,12.6,1.4,1.2,9.4,16.4,2.8,6.4,2.6,6.4,13.2,24.4,543.0,699.0,13.0,9.0,20.4,15.8,30.4,16.8,1.6,2.6,70.4,64.6,0.4,1.4,,,,,2019
71,8,Leicester,0.9,1.3,Everton,1,2,-1,10.0,11.0,2.0,10.0,11.0,26.0,2,0.0,3.0,2.2,3.4,3.6,2.0,1.8,0.0,0.0,0.2,0.2,10.0,13.0,2.0,1.6,12.8,9.2,6.2,3.4,5.0,4.8,19.6,14.6,649.4,555.4,10.4,10.6,20.2,16.4,28.4,22.2,1.4,1.0,76.2,73.2,1.8,2.6,0.2,0.2,0.0,0.0,12.6,13.6,1.4,1.6,13.2,10.0,4.0,4.0,6.2,3.4,22.6,14.0,574.0,571.4,13.4,12.8,20.6,21.2,23.4,26.0,2.4,1.2,71.2,74.4,1.8,1.0,,,,,2019
72,8,Burnley,0.4,1.0,Huddersfield,1,1,0,9.0,11.0,1.0,10.0,13.0,37.0,1,1.0,1.0,2.14,3.1,4.2,2.4,1.6,0.0,0.2,0.0,0.0,11.2,10.2,1.6,1.6,8.2,23.4,2.4,7.4,2.6,7.4,18.0,23.0,513.4,666.8,10.8,7.0,15.4,9.0,34.2,27.2,1.8,1.4,90.4,88.2,1.4,2.0,0.2,0.0,0.0,0.0,13.2,13.2,0.4,1.4,9.4,12.0,3.2,4.2,3.8,3.4,22.0,13.4,554.2,579.2,11.2,10.4,19.0,17.4,15.8,33.4,1.4,1.2,91.6,74.8,1.2,0.4,,,,,2019
73,8,Tottenham,2.0,1.2,Cardiff,1,0,1,7.0,11.0,6.0,2.0,17.0,8.0,0,3.0,0.0,1.22,7.0,15.0,1.4,1.6,0.0,0.0,0.0,0.0,13.2,13.6,1.8,1.0,11.4,10.4,3.6,4.6,4.8,4.0,14.6,16.2,658.2,520.2,12.2,13.2,17.6,15.8,23.4,24.0,1.4,1.8,78.8,84.0,1.2,1.6,0.0,0.2,0.0,0.0,9.8,9.8,0.8,2.8,11.0,12.8,3.2,6.2,5.0,6.4,16.4,18.2,407.0,721.0,14.6,9.0,13.8,11.8,27.4,28.4,1.6,0.8,81.8,73.4,1.8,0.2,,,,,2019
74,8,Watford,1.0,3.2,Bournemouth,0,4,-4,11.0,9.0,10.0,7.0,24.0,14.0,2,0.0,3.0,2.14,3.6,3.5,2.2,2.0,0.0,0.0,0.0,0.2,11.6,10.4,1.2,1.4,10.8,10.8,4.0,2.8,5.8,7.0,20.6,22.0,495.6,676.6,16.4,9.0,19.4,15.4,31.4,30.4,2.8,3.0,86.4,82.4,1.6,3.0,0.2,0.2,0.0,0.2,9.4,12.8,1.6,2.2,13.0,14.2,4.2,4.8,5.4,4.2,17.0,20.8,566.4,641.0,8.8,12.4,12.6,17.4,27.8,26.8,2.2,1.6,62.0,79.2,1.4,1.4,,,,,2019
75,8,Crystal Palace,1.4,0.7,Wolves,0,1,-1,11.0,13.0,6.0,3.0,20.0,8.0,2,0.0,3.0,3.0,3.2,2.62,2.0,2.0,0.0,0.0,0.0,0.0,11.8,11.4,0.6,1.2,12.4,12.8,3.4,4.2,5.0,4.6,16.0,19.6,614.8,562.0,9.2,11.8,19.2,19.8,24.0,25.0,1.8,2.0,75.8,84.4,1.6,2.0,0.0,0.0,0.0,0.0,12.4,7.8,1.2,0.4,14.4,15.4,4.4,4.6,5.8,5.2,15.6,20.2,580.4,673.2,11.8,9.2,17.8,19.2,27.4,17.8,1.4,2.0,74.2,67.4,0.8,2.2,,,,,2019
76,8,Man Utd,1.9,1.6,Newcastle,3,2,1,16.0,8.0,10.0,6.0,44.0,18.0,0,3.0,0.0,1.22,7.0,15.0,2.0,1.6,0.2,0.0,0.2,0.0,10.4,12.2,1.2,1.6,16.8,6.8,5.0,1.0,6.4,3.6,24.6,15.2,685.4,559.6,8.2,12.4,10.6,19.6,22.2,28.8,2.8,1.6,82.0,76.8,0.8,0.4,0.0,0.0,0.0,0.0,12.8,7.4,0.6,1.6,5.0,15.8,2.0,4.4,4.8,6.2,14.8,20.6,445.8,814.0,14.6,7.4,21.4,18.2,32.6,18.2,1.6,1.4,73.8,68.6,1.4,0.2,,,,,2019
77,8,Fulham,1.4,1.1,Arsenal,1,5,-4,11.0,12.0,4.0,2.0,17.0,7.0,2,0.0,3.0,5.25,4.33,1.66,2.0,1.0,0.0,0.0,0.0,0.0,11.2,9.8,1.4,2.2,13.0,17.0,4.6,5.6,4.0,8.2,14.2,26.4,639.0,589.0,11.6,15.6,14.4,18.0,29.4,17.8,2.4,4.8,72.0,83.2,1.8,1.8,0.0,0.0,0.0,0.0,13.8,13.4,2.4,0.8,12.8,10.6,6.0,4.0,6.2,6.0,18.4,22.4,727.0,462.4,8.0,15.2,14.0,17.2,28.6,27.8,1.4,2.8,72.2,70.4,1.0,3.0,,,,,2019
78,8,Southampton,1.6,2.9,Chelsea,0,3,-3,13.0,11.0,4.0,12.0,11.0,27.0,2,0.0,3.0,6.0,4.1,1.61,1.8,1.6,0.0,0.0,0.2,0.0,10.4,10.6,1.0,1.8,13.6,13.2,4.6,5.0,5.0,5.4,19.0,17.0,608.4,652.6,14.4,10.2,21.0,16.0,24.0,25.4,1.4,1.2,79.4,70.6,0.8,1.8,0.0,0.0,0.0,0.0,8.4,10.6,1.8,0.6,16.8,7.8,5.2,2.4,5.8,3.8,20.6,14.6,878.4,478.0,7.8,16.2,12.0,17.0,19.6,31.2,1.8,1.4,55.4,75.2,0.8,2.2,,,,,2019
79,8,Liverpool,0.4,1.0,Man City,0,0,0,10.0,10.0,2.0,6.0,18.0,12.0,1,1.0,1.0,2.54,3.6,2.8,1.0,1.2,0.0,0.0,0.0,0.0,10.4,11.4,1.8,0.6,14.8,9.2,6.4,3.0,5.0,4.4,15.0,13.2,738.8,630.6,8.8,13.8,17.6,17.2,17.2,28.2,2.2,2.4,70.8,70.0,0.6,1.0,0.0,0.0,0.0,0.0,5.6,9.8,2.6,0.4,23.8,5.8,8.2,2.0,8.4,2.6,24.6,8.8,908.4,401.2,9.6,13.4,12.2,16.4,11.4,32.8,2.2,2.2,53.2,65.6,2.6,2.6,,,,,2019
